и,"and, though",conjunction
в,"in, at",preposition
не,not,particle
он,he,pronoun
на,"on, it, at, to",preposition
я,I,pronoun
что,"what, that, why","сonjunction, pronoun"
тот,that,"adjective, pronoun"
быть,to be,verb
с,"with, and, from, of",preposition
а,"while, and, but",conjunction
весь,"all, everything","pron, noun"
это,"that, this, it",pronoun
как,"how, what, as, like","adverb, conj"
она,she,pronoun
по,"on, along, by",preposition
но,but,"conjunction, noun"
они,they,pronoun
к,"to, for, by",preposition
у,"by, with, of",preposition
ты,"you, thou",pronoun
из,"from, of, in",preposition
мы,we,pronoun
за,"behind, over, at, after",preposition
вы,you,pronoun
так,"so, thus, then",adverb
же,"and, as for, but, same","conj, particle"
от,"from, of, for",preposition
сказать,"to say, to speak",verb
этот,this,pronoun
который,"which, who, that",pronoun
мочь,be able,verb
человек,"man, person",noun
о,"of, about, against",preposition
один,"one, some, alone","cardinal number, pronoun"
ещё,"still, yet",adverb
бы,would,particle
такой,"such, so, some",pronoun
только,"only, merely, but","adverb, conj"
себя,"myself, himself, herself","pron, particle"
своё,"one's own, my, our","pronoun, noun"
какой,"what, which, how",pronoun
когда,"when, while, as","adverb, conj"
уже,"already, by now",adverb
для,"for, to",preposition
вот,"here, there, this is, that's",particle
кто,"who, that, some",pronoun
да,"yes, but","conj, particle"
говорить,"to say, to tell, to speak",verb
год,year,noun
знать,"to know, be aware",verb
мой,"my, mine",pronoun
до,"to, up to, about, before",preposition
или,or,conjunction
если,if,conjunction
время,"time, season",noun
рука,"hand, arm",noun
нет,"no, not, but",negation
самый,"most, the very, the same",pronoun
ни,"not a, not, neither… nor","conj, particle"
стать,"to become, begin, come",verb
большой,"big, large, important",adjective
даже,even,particle
другой,"other, another, different",pronoun
наш,"our, ours",pronoun
свой,"my, our, your",pronoun
ну,"now, right, well, come on","interj, particle"
под,"under, for, towards, to",preposition
где,where,adverb
дело,"business, affair, matter",noun
есть,"to eat, to be",verb
сам,"myself, yourself",pronoun
раз,"time, once, since","noun, adverb"
чтобы,"that, in order that","conjunction, particle"
два,two,cardinal number
там,"there, then",adverb
чем,than; instead of,"conjunction, particle"
глаз,eye; sight,noun
жизнь,life,noun
первый,"first, front, former","adjective, number"
день,day,noun
тут,"here, now, then",adverb
во,"in, at; super, exactly","preposition, particle"
ничто,nothing,pronoun
потом,"afterwards, then",adverb
очень,very,adverb
со,with,preposition
хотеть,"to want, like",verb
ли,"whether, if","conj, particle"
при,"attached to, in the presence of, by, about; masterrussian, dot com",preposition
голова,"head, mind, brains",noun
надо,"over, above, ought to","prep, verb"
без,without,preposition
видеть,to see,verb
идти,"to go, come",verb
теперь,"now, nowadays",adverb
тоже,"also, as well, too",adverb
стоять,"to stand, be, stand up",verb
друг,friend,noun
дом,"house, home",noun
сейчас,"now, presently, soon",adverb
можно,one can,predicate
после,"after, afterwards",preposition
слово,word,noun
здесь,here,adverb
думать,to think; believe,verb
место,place; seat,noun
спросить,to ask,verb
через,"through, across",preposition
лицо,face; person,noun
что,"what, which, that",pronoun
тогда,then,adverb
ведь,"you see, you know",conj
хороший,"good, nice (see #152)",adjective
каждый,"each, every",pronoun
новый,new; modern,adjective
жить,to live,verb
должный,"due, proper",adjective
смотреть,"to look, watch",verb
почему,why,adverb
потому,that's why,adverb
сторона,"side, party",noun
просто,simply,adverb
нога,"foot, leg",noun
сидеть,to sit,verb
понять,to understand; realize,verb
иметь,"to have, own",verb
конечный,"final, last",adjective
делать,"to do, make",verb
вдруг,suddenly,adverb
над,"above, over",preposition
взять,to take,verb
никто,nobody,pronoun
сделать,"to do, make, finish",verb
дверь,door,noun
перед,"before, in front of",preposition
нужный,necessary,adjective
понимать,to understand,verb
казаться,"to seem, appear; masterrussian, dot com",verb
работа,"work, job",noun
три,three,cardinal number
ваш,yours,pronoun
уж,"really, already","adverb,  particle"
земля,"earth, land, soil",noun
конец,"end, distance",noun
несколько,"several, some",adverb
час,"hour, time",noun
голос,voice,noun
город,"town, city",noun
последний,"last, the latest, new",adjective
пока,for the present,adverb
хорошо,well (see #114),adverb
давать,"to give; let, allow",verb
вода,water,noun
более,more,adverb
хотя,although,conjunction
всегда,always,adverb
второй,second,ordinal number
куда,"where, what for, much",adverb
пойти,to go,verb
стол,"table, desk; board",noun
ребёнок,"child, kid, infant",noun
увидеть,to see,verb
сила,"strength, force",noun
отец,father (see #918),noun
женщина,woman,noun
машина,"car, machine, engine",noun
случай,"case, occasion, incident",noun
ночь,night,noun
сразу,"at once, right away, just",adverb
мир,"world, peace",noun
совсем,"quite, entirely, totally",adverb
остаться,"to remain, stay (see #297)",verb
об,"about, of (see #34)",preposition
вид,"appearance, look, view",noun
выйти,"to go out, come out, appear",verb
дать,"to give; masterrussian, dot com",verb
работать,to work,verb
любить,to love,verb
старый,old,adjective
почти,almost,adverb
ряд,"row, line",noun
оказаться,"find oneself, turn out",verb
начало,"beginning, origin, source",noun
твой,"your, yours (informal)",pronoun
вопрос,"question, matter, problem",noun
много,"many, much (see #799)",adverb
война,war,noun
снова,again,adverb
ответить,"to answer, reply (see #404)",verb
между,"between, among",preposition
подумать,to think,verb
опять,again,adverb
белый,white,adjective
деньги,money,noun
значить,"to mean,  signify",verb
про,"about, for",preposition
лишь,"only, as soon as","adverb, conj"
минута,"minute, moment",noun
жена,wife,noun
посмотреть,"to take a look, watch, inspect",verb
правда,truth,noun
главный,"main, chief",adjective
страна,country,noun
свет,light;world,noun
ждать,to wait,verb
мать,mother,noun
будто,"as if, as though",conjunction
никогда,never,adverb
товарищ,"comrade, friend",noun
дорога,"road, way, journey",noun
однако,"however, though","conj,  misc"
лежать,"to lie, be situated",verb
именно,"namely, just",misc
окно,"window, windowsill",noun
никакой,"no, none",pronoun
найти,"to find, discover, consider",verb
писать,to write,verb
комната,a room,noun
Москва,Moscow,noun
часть,"part, share, department",noun
вообще,"in general, altogether, on the whole",adverb
книга,a book,noun
маленький,"small, little",adjective
улица,"street; masterrussian, dot com",noun
решить,"to decide, solve",verb
далекий,"distant, remote",adjective
душа,"soul, spirit",noun
чуть,"hardly, slightly",adverb
вернуться,to return,verb
утро,morning,noun
некоторый,some,pronoun
считать,"to count, consider",verb
сколько,"how much, how many",cardinal
помнить,to remember,verb
вечер,evening,noun
пол,floor; sex,noun
таки,after all,particle
получить,"to receive, get, obtain",verb
народ,"people, nation",noun
плечо,"shoulder, upper arm",noun
хоть,"even, if you want, though",conjunction
сегодня,today,adverb
бог,god,noun
вместе,together,adverb
взгляд,"look, glance; view",noun
ходить,"to go, walk",verb
зачем,"what for, why",adverb
советский,Soviet,adjective
русский,Russian,adjective
бывать,"be, visit, happen",verb
полный,"full, complete",adj
прийти,"to come, arrive (see #464)",verb
палец,"finger, toe",noun
Россия,Russia,noun
любой,"any, every",pronoun
история,"history, story, event",noun
наконец,"at last, finally",adverb
мысль,"thought, idea",noun
